id_tipologia,regiao,tipologia_pndr,n_municipios,pib_2021_mil,pop_2021,pop_2022,massa_total,massa_obj4,massa_com_agr,massa_com_min,sem_correspondencia_territorial,pib_pc_2021,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,grupo_q_pib,grupo_q_pib_pc,grupo_q_pop,cruz_q_pib_pop,cruz_q_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop
420014,Sul,Alta Renda,6,4884355.0,107666.0,100431.0,3207587986.3854218,1563778571.735003,92129748.2257086,7563981.661231995,0,45365.807218620546,99693729.8869406,0.0637518199116458,3,4,2,QPIB3,QPIBPC4,QPOP2,QPIB3_QPOP2,QPIBPC4_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420015,Sul,Alta Renda,10,5993144.0,132565.0,128414.0,4094788491.977206,2159439696.037966,17992518.25628662,7324091.898136139,0,45209.09742390525,25316610.15442276,0.01172369397528092,3,4,3,QPIB3,QPIBPC4,QPOP3,QPIB3_QPOP3,QPIBPC4_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420016,Sul,Alta Renda,12,62928564.0,1043557.0,1060924.0,44435770718.58314,23403195390.003136,8369896.495834351,111011080.73762321,0,60301.99021232189,119380977.23345757,0.005101054588658954,4,4,4,QPIB4,QPIBPC4,QPOP4,QPIB4_QPOP4,QPIBPC4_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420017,Sul,Alta Renda,10,9555796.0,242145.0,234385.0,4878133369.11822,1894201455.9012733,145717239.9524145,20413556.894836426,0,39463.11507567779,166130796.84725094,0.08770492511748432,4,3,3,QPIB4,QPIBPC3,QPOP3,QPIB4_QPOP3,QPIBPC3_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420018,Sul,Alta Renda,3,6167472.0,140986.0,134823.0,4645771952.091217,2177195593.359009,27963928.5307991,9946841.687973022,0,43745.279673159035,37910770.21877212,0.017412661652636746,3,4,3,QPIB3,QPIBPC4,QPOP3,QPIB3_QPOP3,QPIBPC4_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420019,Sul,Alta Renda,12,31145093.0,664100.0,655004.0,27621415234.127785,15974842257.456379,15631337.978628635,56504763.08116913,0,46898.19756060834,72136101.05979776,0.004515606470300368,4,4,4,QPIB4,QPIBPC4,QPOP4,QPIB4_QPOP4,QPIBPC4_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420020,Sul,Alta Renda,11,48904046.0,763728.0,835765.0,28577871283.649193,9601152710.569109,17275050.361660004,115156568.83753204,0,64033.32861961327,132431619.19919205,0.013793304115807793,4,4,4,QPIB4,QPIBPC4,QPOP4,QPIB4_QPOP4,QPIBPC4_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420021,Sul,Alta Renda,3,8381740.0,170915.0,170704.0,6830620011.577672,4353918666.709897,931076.4473876953,5100125.95513916,0,49040.400198929296,6031202.4025268555,0.0013852354313922963,4,4,3,QPIB4,QPIBPC4,QPOP3,QPIB4_QPOP3,QPIBPC4_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420022,Sul,Alta Renda,17,8181629.0,200405.0,200988.0,6454581468.315442,3563655098.7248898,24930072.45896721,12012457.139183044,0,40825.47341633193,36942529.59815025,0.010366471663144014,4,4,3,QPIB4,QPIBPC4,QPOP3,QPIB4_QPOP3,QPIBPC4_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420023,Sul,Alta Renda,6,2005176.0,55393.0,59625.0,1565995302.2816663,833043657.0693283,5632136.946716309,3366852.24010849,0,36199.08652717852,8998989.186824799,0.010802542112238755,2,3,2,QPIB2,QPIBPC3,QPOP2,QPIB2_QPOP2,QPIBPC3_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
420024,Sul,Alta Renda,5,2154164.0,47122.0,48123.0,922414701.343826,355797022.9542682,4249140.794792175,5880547.360481262,0,45714.613131870465,10129688.155273438,0.028470412908922625,2,4,2,QPIB2,QPIBPC4,QPOP2,QPIB2_QPOP2,QPIBPC4_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4200606,Sul,Alta Renda,1,187612.0,6646.0,6737.0,105167911.275069,21057783.663315296,0.0,338402.5,0,28229.3108636774,338402.5,0.01607018598968371,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4200705,Sul,Média Renda e Alto Dinamismo,1,322561.0,10136.0,10453.0,92398832.45389557,26108099.292194366,2807185.927459717,0.0,0,31823.30307813733,2807185.927459717,0.10752165050555754,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4200903,Sul,Média Renda e Médio Dinamismo,1,168208.0,4686.0,5358.0,42877712.358543396,13828005.844127655,0.0,1139050.6701660156,0,35895.86000853607,1139050.6701660156,0.08237273566453812,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4201109,Sul,Alta Renda,1,81061.0,3223.0,3586.0,36410851.240300655,16499947.889577389,738843.7135009766,0.0,0,25150.79118833385,738843.7135009766,0.04477854829879105,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4201208,Sul,Alta Renda,1,714271.0,8712.0,11199.0,270527371.6784439,59564112.841676936,1111779.4161376953,842606.2928161621,0,81987.02938475666,1954385.7089538574,0.0328114634083222,1,4,1,QPIB1,QPIBPC4,QPOP1,QPIB1_QPOP1,QPIBPC4_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4202305,Sul,Alta Renda,1,2306124.0,70471.0,76486.0,1811549524.8441834,633573667.1032585,368794.7158203125,10247870.935417175,0,32724.439840501767,10616665.651237488,0.016756797516187184,2,3,2,QPIB2,QPIBPC3,QPOP2,QPIB2_QPOP2,QPIBPC3_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4203709,Sul,Alta Renda,1,263122.0,12553.0,12814.0,218730845.65377915,92001721.53776342,1104612.4666748047,4468485.461669922,0,20960.885844021348,5573097.928344727,0.060576017874373896,1,2,1,QPIB1,QPIBPC2,QPOP1,QPIB1_QPOP1,QPIBPC2_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4205407,Sul,Alta Renda,1,19819503.0,516524.0,532523.0,27935285068.355453,13360883471.636827,2669902.441345215,11100092.65017891,0,38370.923713128526,13769995.091524124,0.0010306201023873743,4,3,4,QPIB4,QPIBPC3,QPOP4,QPIB4_QPOP4,QPIBPC3_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4205704,Sul,Alta Renda,1,688911.0,24070.0,29797.0,507124528.7082813,233819083.36423448,31248.0,1335148.2174072266,0,28621.14665558787,1366396.2174072266,0.005843818210845975,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4206009,Sul,Alta Renda,1,414369.0,14739.0,16913.0,363176102.8167094,84853988.68394244,279459.1687011719,0.0,0,28113.779767962547,279459.1687011719,0.003293412284271983,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4209805,Sul,Alta Renda,1,115960.0,2960.0,3321.0,18865308.563274384,2521401.736038208,20283.689453125,0.0,0,39175.67567567567,20283.689453125,0.008044608347496447,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4210209,Sul,Média Renda e Baixo Dinamismo,1,59279.0,3465.0,3214.0,29306376.431775816,15805609.908582458,21741.7705078125,79816.55078125,0,17107.93650793651,101558.3212890625,0.006425460445782371,1,2,1,QPIB1,QPIBPC2,QPOP1,QPIB1_QPOP1,QPIBPC2_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4211504,Sul,Alta Renda,1,619618.0,15010.0,13684.0,608847436.7609396,251204189.6680134,315438.3166503906,940203.3913574219,0,41280.34643570953,1255641.7080078125,0.004998490310481065,1,4,1,QPIB1,QPIBPC4,QPOP1,QPIB1_QPOP1,QPIBPC4_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4211900,Sul,Alta Renda,1,6476832.0,178679.0,221575.0,5039824956.0680685,1633362467.017794,569216.4434814453,42732672.33900452,0,36248.4231498945,43301888.78248596,0.026510887605705115,3,3,3,QPIB3,QPIBPC3,QPOP3,QPIB3_QPOP3,QPIBPC3_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4212304,Sul,Média Renda e Baixo Dinamismo,1,232259.0,7642.0,9046.0,185741018.7826467,67668594.69220448,1808355.1744308472,4650833.790863037,0,30392.436534938497,6459188.965293884,0.09545327481195634,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4214300,Sul,Alta Renda,1,155974.0,2897.0,3265.0,60387183.708999634,8183532.206039429,761954.2006225586,42892.669921875,0,53839.83431135658,804846.8705444336,0.09834956963332513,1,4,1,QPIB1,QPIBPC4,QPOP1,QPIB1_QPOP1,QPIBPC4_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4215703,Sul,Alta Renda,1,1191183.0,23907.0,27030.0,569768180.4284062,209500106.06018782,636084.4858398438,814692.8984375,0,49825.699585895345,1450777.3842773438,0.0069249482091457565,2,4,1,QPIB2,QPIBPC4,QPOP1,QPIB2_QPOP1,QPIBPC4_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4215901,Sul,Média Renda e Alto Dinamismo,1,103494.0,2791.0,2943.0,33746265.102582395,20614095.51827759,170094.35781860352,0.0,0,37081.33285560731,170094.35781860352,0.00825136167957447,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4216305,Sul,Alta Renda,1,913050.0,39719.0,32632.0,765549626.0897851,495228471.4977441,158497.52734375,3167623.5194091797,0,22987.73886553035,3326121.0467529297,0.006716336475351622,1,2,1,QPIB1,QPIBPC2,QPOP1,QPIB1_QPOP1,QPIBPC2_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4216602,Sul,Alta Renda,1,10764130.0,253705.0,269490.0,11891566935.422281,4327695779.452406,385120.15673828125,9101086.634643555,0,42427.74088015609,9486206.791381836,0.002191976348342616,4,4,4,QPIB4,QPIBPC4,QPOP4,QPIB4_QPOP4,QPIBPC4_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4217253,Sul,Alta Renda,1,94952.0,6046.0,4599.0,32923477.5995152,8679464.046039581,11533.330078125,0.0,0,15704.92887859742,11533.330078125,0.001328806711675663,1,2,1,QPIB1,QPIBPC2,QPOP1,QPIB1_QPOP1,QPIBPC2_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
4218004,Sul,Alta Renda,1,1992176.0,39889.0,51068.0,2015195622.6225712,504825111.7678242,2850096.1177368164,10550398.196731567,0,49942.99180225125,13400494.314468384,0.0265448251326916,2,4,1,QPIB2,QPIBPC4,QPOP1,QPIB2_QPOP1,QPIBPC4_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430001,Sul,Média Renda e Médio Dinamismo,9,2905354.0,74579.0,69243.0,805039616.2352883,318972070.76572824,115468594.70406464,1542637.6188201904,0,38956.730446908645,117011232.32288483,0.36683848852968926,3,3,2,QPIB3,QPIBPC3,QPOP2,QPIB3_QPOP2,QPIBPC3_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430002,Sul,Alta Renda,10,2678290.0,55485.0,53518.0,1816748169.633738,1328203047.6398926,852421.0001220703,1403591.8496704102,0,48270.523564927455,2256012.8497924805,0.0016985451537709008,2,4,2,QPIB2,QPIBPC4,QPOP2,QPIB2_QPOP2,QPIBPC4_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430003,Sul,Alta Renda,10,6948164.0,248167.0,258885.0,3556304729.5739346,1024872130.3858585,8333733.819319535,6995241.181983948,0,27997.936873153965,15328975.001303483,0.014956963456048132,3,3,3,QPIB3,QPIBPC3,QPOP3,QPIB3_QPOP3,QPIBPC3_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430004,Sul,Média Renda e Baixo Dinamismo,2,851158.0,33646.0,28596.0,665542299.1781771,532771916.5866002,1507721.354959717,20926.75,0,25297.44991975272,1528648.104959717,0.0028692355159287766,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430005,Sul,Média Renda e Médio Dinamismo,9,4526910.0,142138.0,125042.0,1528459329.203631,623636483.5863712,41931073.896362305,4266686.597808838,0,31848.696337362282,46197760.49417114,0.07407802736058647,3,3,3,QPIB3,QPIBPC3,QPOP3,QPIB3_QPOP3,QPIBPC3_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430006,Sul,Média Renda e Médio Dinamismo,3,1020494.0,37432.0,34171.0,446002664.467745,70062097.86518264,17813680.65810013,36949836.51702881,0,27262.60953195127,54763517.17512894,0.7816425548733629,2,3,1,QPIB2,QPIBPC3,QPOP1,QPIB2_QPOP1,QPIBPC3_QPOP1,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo
430007,Sul,Alta Renda,6,790978.0,26050.0,24448.0,447338580.04705524,235042278.31110215,11827070.582336426,60.68000030517578,0,30363.83877159309,11827131.262336731,0.05031916533195926,1,3,1,QPIB1,QPIBPC3,QPOP1,QPIB1_QPOP1,QPIBPC3_QPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430008,Sul,Alta Renda,7,2066936.0,72057.0,74941.0,1130982324.962739,378170523.79312795,756880.4527359009,3306425.288673401,0,28684.73569535229,4063305.7414093018,0.010744638954547572,2,3,2,QPIB2,QPIBPC3,QPOP2,QPIB2_QPOP2,QPIBPC3_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430009,Sul,Alta Renda,17,31190545.0,844769.0,787037.0,13278458823.512009,5687870347.329231,361871458.9736085,43797037.55617905,0,36921.98103860345,405668496.52978754,0.07132168487635646,4,3,4,QPIB4,QPIBPC3,QPOP4,QPIB4_QPOP4,QPIBPC3_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430010,Sul,Média Renda e Alto Dinamismo,7,9594282.0,195372.0,187589.0,2832604720.591686,1006396594.2342452,184753565.11090276,79939717.28464508,0,49107.763650881396,264693282.39554784,0.2630109083357438,4,4,3,QPIB4,QPIBPC4,QPOP3,QPIB4_QPOP3,QPIBPC4_QPOP3,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo
430011,Sul,Alta Renda,25,19512571.0,485084.0,457547.0,8040420245.537097,3101264912.9750504,151148446.3330003,26635362.05059433,0,40225.13832655788,177783808.38359463,0.057326224418876304,4,4,4,QPIB4,QPIBPC4,QPOP4,QPIB4_QPOP4,QPIBPC4_QPOP4,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430012,Sul,Média Renda e Médio Dinamismo,6,4936562.0,117977.0,110971.0,1407859090.199641,512053836.87336415,156255337.12352753,4222458.374542236,0,41843.42710867373,160477795.49806976,0.3134002402519981,3,4,2,QPIB3,QPIBPC4,QPOP2,QPIB3_QPOP2,QPIBPC4_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430013,Sul,Alta Renda,4,3635264.0,98153.0,93263.0,1410108108.9707932,631674835.6370739,64611962.575544655,3378543.3933563232,0,37036.70799669903,67990505.96890098,0.10763529292777564,3,3,2,QPIB3,QPIBPC3,QPOP2,QPIB3_QPOP2,QPIBPC3_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430014,Sul,Alta Renda,5,2969942.0,64270.0,61645.0,848382388.073259,314043687.4582815,56612510.20285059,1689120.0899047852,0,46210.393651781545,58301630.29275537,0.1856481522192683,3,4,2,QPIB3,QPIBPC4,QPOP2,QPIB3_QPOP2,QPIBPC4_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430015,Sul,Média Renda e Médio Dinamismo,4,7184157.0,210812.0,199379.0,2857570513.716942,1026131183.8321161,206990454.92044973,7806903.546028137,0,34078.50122383925,214797358.46647787,0.20932738606024137,3,3,3,QPIB3,QPIBPC3,QPOP3,QPIB3_QPOP3,QPIBPC3_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430016,Sul,Média Renda e Alto Dinamismo,3,4492246.0,137388.0,143587.0,1686548787.4019597,478594786.91083467,140461484.0140569,3145254.360481262,0,32697.513611086848,143606738.37453815,0.30005913625066927,3,3,3,QPIB3,QPIBPC3,QPOP3,QPIB3_QPOP3,QPIBPC3_QPOP3,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430017,Sul,Média Renda e Médio Dinamismo,3,4916295.0,101670.0,98964.0,1676129106.383823,768334771.0651728,115189661.84284592,1192893.6344604492,0,48355.41457657126,116382555.47730637,0.1514737583930513,3,4,2,QPIB3,QPIBPC4,QPOP2,QPIB3_QPOP2,QPIBPC4_QPOP2,Abaixo da média simples do grupo,Abaixo da média simples do grupo
