cnae_subclasse_key,descricao,nivel,secao,divisao,grupo,classe,subclasse,e_obj4_original,com_agr_original,com_min_original,e_obj4_ajustado,com_agr_ajustado,com_min_ajustado,excluir_obj4,classificacao,q_salario,q_vinculos,rank_salario,rank_vinculos,rank_massa,salario_relativo,vinculos,massa_salarial_rais_2024,remuneracao,indice,e_obj4,com_agr,com_min
1082100,Fabricação de produtos à base de café,Subclasse,C,10,108,10821,1082100,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,4.0,2.0,274.0,939.0,885.0,1551318949224133.0,3551.0,1531813856.0,4313753466629119.0,369910289539002.0,0,0,0
1091100,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0
1091101,Fabricação de produtos de panificação industrial,Subclasse,C,10,109,10911,1091101,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,4.0,884.0,113.0,149.0,8008384942153998.0,141611.0,31535240969.0,2226892047157354.0,408472568398539.0,0,0,0
1091102,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Subclasse,C,10,109,10911,1091102,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,1.0,4.0,1252.0,46.0,95.0,5838958650338201.0,302571.0,49126624449.0,162363955729399.0,622462750895726.0,0,0,0
1092900,Fabricação de biscoitos e bolachas,Subclasse,C,10,109,10929,1092900,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,4.0,698.0,225.0,262.0,9213836158010866.0,62417.0,15991809224.0,2562091933928257.0,273580921060004.0,0,0,0
1093701,Fabricação de produtos derivados do cacau e de chocolates,Subclasse,C,10,109,10937,1093701,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,3.0,394.0,357.0,316.0,1272740605833617.0,35455.0,1254791632.0,3539110511916514.0,352314275135478.0,0,0,0
1093702,"Fabricação de frutas cristalizadas, balas e semelhantes",Subclasse,C,10,109,10937,1093702,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,3.0,576.0,527.0,522.0,1026217605474801.0,20277.0,5786252562.0,2853603867436011.0,206481635428481.0,0,0,0
1094500,Fabricação de massas alimentícias,Subclasse,C,10,109,10945,1094500,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,2.0,4.0,808.0,243.0,299.0,8482948798822981.0,57752.0,13622853882.0,2358854045227871.0,237139811900822.0,0,0,0
1095300,"Fabricação de especiarias, molhos, temperos e condimentos",Subclasse,C,10,109,10953,1095300,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,3.0,3.0,647.0,458.0,496.0,9526968646294380.0,24462.0,6480386695.0,2649164702395552.0,191878920597251.0,0,0,0
1096100,Fabricação de alimentos e pratos prontos,Subclasse,C,10,109,10961,1096100,0,0,0,0,0,0,0,Baixa remuneração e alto emprego,1.0,3.0,1140.0,377.0,514.0,6538843125051874.0,33610.0,6111160003.0,1818256472180899.0,120723753438042.0,0,0,0
1099601,Fabricação de vinagres,Subclasse,C,10,109,10996,1099601,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,1.0,583.0,1044.0,1060.0,1020110469175969.0,1977.0,56080012.0,2836621750126454.0,157589135403025.0,0,0,0
1099602,Fabricação de pós-alimentícios,Subclasse,C,10,109,10996,1099602,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,2.0,351.0,761.0,715.0,1358726593955336.0,8414.0,3178987406.0,3778211797004992.0,308911233541581.0,0,0,0
1099603,Fabricação de fermentos e leveduras,Subclasse,C,10,109,10996,1099603,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,4.0,1.0,293.0,1021.0,982.0,1510465906498011.0,2258.0,948394635.0,4200153387953941.0,349760229070044.0,0,0,0
1099604,Fabricação de gelo comum,Subclasse,C,10,109,10996,1099604,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,1.0,2.0,1111.0,665.0,797.0,6692346775028164.0,11808.0,2197399417.0,1860941240684282.0,80579497790036.0,0,0,0
1099605,"Fabricação de produtos para infusão (chá, mate, etc.)",Subclasse,C,10,109,10996,1099605,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,2.0,2.0,891.0,866.0,946.0,7967635787213306.0,5122.0,1134810307.0,221556092737212.0,101816180007426.0,0,0,0
1099606,Fabricação de adoçantes naturais e artificiais,Subclasse,C,10,109,10996,1099606,0,0,0,0,0,0,0,Baixa remuneração e baixo emprego,3.0,1.0,633.0,1172.0,1173.0,9646781771964242.0,690.0,185091199.0,2682481144927536.0,137029731912217.0,0,0,0
1099607,Fabricação de alimentos dietéticos e complementos alimentares,Subclasse,C,10,109,10996,1099607,0,0,0,0,0,0,0,Alta remuneração e baixo emprego,3.0,2.0,496.0,728.0,726.0,1129612923920783.0,9667.0,3036516148.0,3141115287059067.0,220916404073454.0,0,0,0
1099699,Fabricação de outros produtos alimentícios não especificados anteriormente,Subclasse,C,10,109,10996,1099699,0,0,0,0,0,0,0,Alta remuneração e alto emprego,3.0,4.0,545.0,130.0,132.0,1062814007563344.0,121868.0,36016472687.0,2955367503118128.0,4848535701364.0,0,0,0
