nivel_territorial,tipo_grupo,grupo,metodo_media,razao_referencia,n_territorios_grupo,massa_total_grupo,massa_obj4_grupo,massa_com_grupo,razao_dependencia_grupo_ponderada,razao_dependencia_grupo_media_simples,razao_dependencia_grupo_media_pond
tipologia,q_pib_pop,QPIB4_QPOP4,simples,0.12366879010439255,178,3969173488578.819,1612138570530.9316,83510106312.8192,0.05180082397341099,0.12366879010439255,0.051800823973410993
tipologia,q_pib_pop,QPIB4_QPOP4,ponderada_refeita,0.05180082397341099,178,3969173488578.819,1612138570530.9316,83510106312.8192,0.05180082397341099,0.12366879010439255,0.051800823973410993
tipologia,q_pib_pop,QPIB4_QPOP4,ponderada_massa_obj4,0.051800823973410993,178,3969173488578.819,1612138570530.9316,83510106312.8192,0.05180082397341099,0.12366879010439255,0.051800823973410993
tipologia,q_pibpc_pop,QPIBPC1_QPOP1,simples,3.0079063821297725,58,2882077801.4465685,959230307.1953084,240785153.396107,0.25101912605340654,3.0079063821297725,0.25101912605340654
tipologia,q_pibpc_pop,QPIBPC1_QPOP1,ponderada_refeita,0.25101912605340654,58,2882077801.4465685,959230307.1953084,240785153.396107,0.25101912605340654,3.0079063821297725,0.25101912605340654
tipologia,q_pibpc_pop,QPIBPC1_QPOP1,ponderada_massa_obj4,0.25101912605340654,58,2882077801.4465685,959230307.1953084,240785153.396107,0.25101912605340654,3.0079063821297725,0.25101912605340654
tipologia,q_pibpc_pop,QPIBPC1_QPOP2,simples,0.22644874042063626,58,17655614197.937496,6118506609.7255535,707742239.5080197,0.11567238292805662,0.22644874042063626,0.11567238292805662
tipologia,q_pibpc_pop,QPIBPC1_QPOP2,ponderada_refeita,0.11567238292805662,58,17655614197.937496,6118506609.7255535,707742239.5080197,0.11567238292805662,0.22644874042063626,0.11567238292805662
tipologia,q_pibpc_pop,QPIBPC1_QPOP2,ponderada_massa_obj4,0.11567238292805662,58,17655614197.937496,6118506609.7255535,707742239.5080197,0.11567238292805662,0.22644874042063626,0.11567238292805662
tipologia,q_pibpc_pop,QPIBPC1_QPOP3,simples,0.21786803825042372,66,42995794787.06227,14017607212.333693,2007545347.5615942,0.14321597952860401,0.21786803825042372,0.14321597952860401
tipologia,q_pibpc_pop,QPIBPC1_QPOP3,ponderada_refeita,0.14321597952860401,66,42995794787.06227,14017607212.333693,2007545347.5615942,0.14321597952860401,0.21786803825042372,0.14321597952860401
tipologia,q_pibpc_pop,QPIBPC1_QPOP3,ponderada_massa_obj4,0.14321597952860401,66,42995794787.06227,14017607212.333693,2007545347.5615942,0.14321597952860401,0.21786803825042372,0.14321597952860401
tipologia,q_pibpc_pop,QPIBPC1_QPOP4,simples,0.12575526664945494,47,91320217583.71887,35155127125.89309,2031715404.3567674,0.05779286182300082,0.12575526664945494,0.05779286182300083
tipologia,q_pibpc_pop,QPIBPC1_QPOP4,ponderada_refeita,0.05779286182300082,47,91320217583.71887,35155127125.89309,2031715404.3567674,0.05779286182300082,0.12575526664945494,0.05779286182300083
tipologia,q_pibpc_pop,QPIBPC1_QPOP4,ponderada_massa_obj4,0.05779286182300083,47,91320217583.71887,35155127125.89309,2031715404.3567674,0.05779286182300082,0.12575526664945494,0.05779286182300083
tipologia,q_pibpc_pop,QPIBPC2_QPOP1,simples,1.620631897246661,71,9735135124.104692,3416653602.6807704,619310428.5061516,0.18126228190655003,1.620631897246661,0.18126228190655005
tipologia,q_pibpc_pop,QPIBPC2_QPOP1,ponderada_refeita,0.18126228190655003,71,9735135124.104692,3416653602.6807704,619310428.5061516,0.18126228190655003,1.620631897246661,0.18126228190655005
tipologia,q_pibpc_pop,QPIBPC2_QPOP1,ponderada_massa_obj4,0.18126228190655005,71,9735135124.104692,3416653602.6807704,619310428.5061516,0.18126228190655003,1.620631897246661,0.18126228190655005
tipologia,q_pibpc_pop,QPIBPC2_QPOP2,simples,0.2668880544072445,57,39390833658.802185,14993273197.464966,2449730298.5665307,0.16338862543908866,0.2668880544072445,0.16338862543908866
tipologia,q_pibpc_pop,QPIBPC2_QPOP2,ponderada_refeita,0.16338862543908866,57,39390833658.802185,14993273197.464966,2449730298.5665307,0.16338862543908866,0.2668880544072445,0.16338862543908866
tipologia,q_pibpc_pop,QPIBPC2_QPOP2,ponderada_massa_obj4,0.16338862543908866,57,39390833658.802185,14993273197.464966,2449730298.5665307,0.16338862543908866,0.2668880544072445,0.16338862543908866
tipologia,q_pibpc_pop,QPIBPC2_QPOP3,simples,0.36690806074812216,53,89085972320.10257,33538239770.262478,4782420497.837938,0.14259604948254892,0.36690806074812216,0.1425960494825489
tipologia,q_pibpc_pop,QPIBPC2_QPOP3,ponderada_refeita,0.14259604948254892,53,89085972320.10257,33538239770.262478,4782420497.837938,0.14259604948254892,0.36690806074812216,0.1425960494825489
tipologia,q_pibpc_pop,QPIBPC2_QPOP3,ponderada_massa_obj4,0.1425960494825489,53,89085972320.10257,33538239770.262478,4782420497.837938,0.14259604948254892,0.36690806074812216,0.1425960494825489
tipologia,q_pibpc_pop,QPIBPC2_QPOP4,simples,0.19823325932386468,47,406724347424.9581,152723322318.31198,7798582720.524847,0.051063469561451344,0.19823325932386468,0.051063469561451344
tipologia,q_pibpc_pop,QPIBPC2_QPOP4,ponderada_refeita,0.051063469561451344,47,406724347424.9581,152723322318.31198,7798582720.524847,0.051063469561451344,0.19823325932386468,0.051063469561451344
tipologia,q_pibpc_pop,QPIBPC2_QPOP4,ponderada_massa_obj4,0.051063469561451344,47,406724347424.9581,152723322318.31198,7798582720.524847,0.051063469561451344,0.19823325932386468,0.051063469561451344
tipologia,q_pibpc_pop,QPIBPC3_QPOP1,simples,0.7881905728171948,55,19368542884.51272,8823483484.560978,1068770253.837208,0.12112792591580239,0.7881905728171948,0.12112792591580238
tipologia,q_pibpc_pop,QPIBPC3_QPOP1,ponderada_refeita,0.12112792591580239,55,19368542884.51272,8823483484.560978,1068770253.837208,0.12112792591580239,0.7881905728171948,0.12112792591580238
tipologia,q_pibpc_pop,QPIBPC3_QPOP1,ponderada_massa_obj4,0.12112792591580238,55,19368542884.51272,8823483484.560978,1068770253.837208,0.12112792591580239,0.7881905728171948,0.12112792591580238
tipologia,q_pibpc_pop,QPIBPC3_QPOP2,simples,0.611708317388618,55,66347742139.896416,23882071467.771942,4778951461.46579,0.2001062373469079,0.611708317388618,0.20010623734690783
tipologia,q_pibpc_pop,QPIBPC3_QPOP2,ponderada_refeita,0.2001062373469079,55,66347742139.896416,23882071467.771942,4778951461.46579,0.2001062373469079,0.611708317388618,0.20010623734690783
tipologia,q_pibpc_pop,QPIBPC3_QPOP2,ponderada_massa_obj4,0.20010623734690783,55,66347742139.896416,23882071467.771942,4778951461.46579,0.2001062373469079,0.611708317388618,0.20010623734690783
tipologia,q_pibpc_pop,QPIBPC3_QPOP3,simples,0.5389923886668977,60,183985833419.01218,72532723614.35895,10143586011.150747,0.1398484091826199,0.5389923886668977,0.1398484091826199
tipologia,q_pibpc_pop,QPIBPC3_QPOP3,ponderada_refeita,0.1398484091826199,60,183985833419.01218,72532723614.35895,10143586011.150747,0.1398484091826199,0.5389923886668977,0.1398484091826199
tipologia,q_pibpc_pop,QPIBPC3_QPOP3,ponderada_massa_obj4,0.1398484091826199,60,183985833419.01218,72532723614.35895,10143586011.150747,0.1398484091826199,0.5389923886668977,0.1398484091826199
tipologia,q_pibpc_pop,QPIBPC3_QPOP4,simples,0.0919699685703159,58,818131896185.8722,337590639812.61707,13945077240.655434,0.04130765369678432,0.0919699685703159,0.04130765369678431
tipologia,q_pibpc_pop,QPIBPC3_QPOP4,ponderada_refeita,0.04130765369678432,58,818131896185.8722,337590639812.61707,13945077240.655434,0.04130765369678432,0.0919699685703159,0.04130765369678431
tipologia,q_pibpc_pop,QPIBPC3_QPOP4,ponderada_massa_obj4,0.04130765369678431,58,818131896185.8722,337590639812.61707,13945077240.655434,0.04130765369678432,0.0919699685703159,0.04130765369678431
tipologia,q_pibpc_pop,QPIBPC4_QPOP1,simples,0.8983434597383766,44,25975644955.789307,9234291572.227623,1992333167.3565333,0.21575376430050447,0.8983434597383766,0.21575376430050447
tipologia,q_pibpc_pop,QPIBPC4_QPOP1,ponderada_refeita,0.21575376430050447,44,25975644955.789307,9234291572.227623,1992333167.3565333,0.21575376430050447,0.8983434597383766,0.21575376430050447
