Código CNAE;Descrição;Nível;Seção;Divisão;Grupo;Classe;Subclasse;Vínculos;Remuneração;Massa salarial;Salário relativo;Dif. abs.;Dif. %;Share vínculos;Share massa;Q salário;Q vínculos;Jenks;Rank salário;Rank vínculos;Rank massa;Classificação;Índice
2019399;Fabricação de outros produtos químicos inorgânicos não especificados anteriormente;Subclasse;C;20;201;20193;2019399;11701;5225,0198794974785;61137957,61;1,8790300400433455;2444,3193222158357;87,90300400433455;0,0001608803500347238;0,00030229901056793456;4;2;2;179;669;512;Alta remuneração e baixo emprego;0,0528492321727507
2942500;Fabricação de peças e acessórios para os sistemas de marcha e transmissão de veículos automotores;Subclasse;C;29;294;29425;2942500;13087;5187,23344693207;67885324,12;1,8654412224820804;2406,5328896504275;86,54412224820804;0,00017993685504695585;0,00033566162684837427;4;3;2;184;632;483;Alta remuneração e alto emprego;0,052810037802189895
2910703;Fabricação de motores para automóveis, camionetas e utilitários;Subclasse;C;29;291;29107;2910703;6587;5342,613777136785;35191796,95;1,921319346359112;2561,913219855142;92,13193463591121;0,00009056652129550686;0,00017400720949750187;4;2;2;172;818;680;Alta remuneração e baixo emprego;0,05263895996497269
7119702;Atividades de estudos geológicos;Subclasse;M;71;711;71197;7119702;8544;5276,134729634832;45079295,13;1,897412044536243;2495,4341723531893;89,7412044536243;0,00011747386639575082;0,000222896329017539;4;2;2;176;758;602;Alta remuneração e baixo emprego;0,05241817382179416
7711000;Locação de automóveis sem condutor;Subclasse;N;77;771;77110;7711000;151744;2749,8854120097003;417278611,96;0,9889182079705602;-30,815145271942583;-1,1081792029439819;0,0020863710653507505;0,0020632503351082927;3;4;1;607;106;118;Baixa remuneração e alto emprego;0,05198778668804254
2071100;Fabricação de tintas, vernizes, esmaltes e lacas;Subclasse;C;20;207;20711;2071100;39099;4507,277901225095;176230058,66;1,6209145171788362;1726,577343943452;62,091451717883615;0,0005375831814381392;0,0008713763829842642;4;4;2;250;328;237;Alta remuneração e alto emprego;0,05159723236458285
2092401;Fabricação de pólvoras, explosivos e detonantes;Subclasse;C;20;209;20924;2092401;4463;5324,160770781985;23761729,52;1,9146832465796957;2543,460213500342;91,46832465796957;0,00006136304608195645;0,00011749079629221985;4;2;2;174;891;783;Alta remuneração e baixo emprego;0,05158246869465122
2621300;Fabricação de equipamentos de informática;Subclasse;C;26;262;26213;2621300;13148;5048,601444326133;66379011,79;1,8155861590726419;2267,90088704449;81,55861590726418;0,0001807755612560079;0,00032821360691499655;4;3;2;196;631;487;Alta remuneração e alto emprego;0,0508128436445259
4399103;Obras de alvenaria;Subclasse;F;43;439;43991;4399103;236832;1686,2425548490069;399356196,75;0,6064092555501351;-1094,458002432636;-39,35907444498648;0,003256269982003565;0,0019746322556570338;1;4;1;1223;65;121;Baixa remuneração e alto emprego;0,05076712556972454
0891600;Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos;Subclasse;B;08;089;08916;0891600;8371;5160,027081591208;43194586,7;1,8556572256868777;2379,3265243095652;85,56572256868778;0,00011509524058975071;0,00021357731484254053;4;2;2;189;762;618;Alta remuneração e baixo emprego;0,0506893115834237
2822401;Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios;Subclasse;C;28;282;28224;2822401;7176;5176,016765607581;37143096,31;1,8614074615310434;2395,316208325938;86,14074615310435;0,0000986648484615997;0,0001836554851172514;4;2;2;185;796;668;Alta remuneração e baixo emprego;0,05048066415996657
4313400;Obras de terraplenagem;Subclasse;F;43;431;43134;4313400;156856;2566,112968901413;402510215,85;0,9228296668556047;-214,58758838023005;-7,717033314439526;0,002156657395525736;0,0019902274258346915;2;4;1;697;101;120;Baixa remuneração e alto emprego;0,05009840357495879
1812100;Impressão de material de segurança;Subclasse;C;18;181;18121;1812100;10591;5057,242006420546;53561250,09;1,8186934918891104;2276,5414491389033;81,86934918891104;0,00014561864688639946;0,0002648356853899932;4;2;2;194;698;544;Alta remuneração e baixo emprego;0,05001642517657805
2072000;Fabricação de tintas de impressão;Subclasse;C;20;207;20720;2072000;3055;5249,479885433715;16037161,05;1,8878263866590157;2468,779328152072;88,78263866590157;0,000042004056863181034;0,0000792963668930389;4;2;2;178;973;869;Alta remuneração e baixo emprego;0,050004938888338554
