id_tipologia,regiao,tipologia_pndr,pib_2021_mil,pib_pc_2021,pop_2021,pop_2022,massa_total,massa_obj4,massa_com_agr,massa_com_min,massa_com,razao_dependencia_com,q_pib_2021,q_pib_pc_2021,q_pop_2021,jenks_pib_2021,jenks_pib_pc_2021,jenks_pop_2021,cruz_q_pib_pop,cruz_q_pibpc_pop,cruz_j_pib_pop,cruz_j_pibpc_pop,flag_dep_q_pib_pop,flag_dep_q_pibpc_pop,flag_dep_j_pib_pop,flag_dep_j_pibpc_pop
2304954,2,Baixa Renda e Médio Dinamismo,220362,8313.037573562699,26508,24306,72696864.63682634,40658465.27490616,187741.0269775391,164668.453125,352409.4801025391,.0086675549044897,1,1,1,1,1,1,QPIB1_QPOP1,QPIBPC1_QPOP1,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
1303569,1,Baixa Renda e Baixo Dinamismo,380842,10926.15331650218,34856,24864,81517211.83762741,42365993.47786713,1357690.435546875,0,1357690.435546875,.0320467035962738,1,1,1,1,1,1,QPIB1_QPOP1,QPIBPC1_QPOP1,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
430014,4,Alta Renda,2969942,46210.39365178155,64270,61645,848382388.073259,314043687.4582815,56612510.20285059,1689120.089904785,58301630.29275537,.1856481522192683,3,4,2,1,1,1,QPIB3_QPOP2,QPIBPC4_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
350052,3,Média Renda e Alto Dinamismo,11942321,36682.17113790922,325562,301818,6412699401.019526,3404702759.090322,39207278.91318893,39570731.17940617,78778010.0925951,.0231379993105898,4,3,4,1,1,1,QPIB4_QPOP4,QPIBPC3_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
260010,2,Baixa Renda e Alto Dinamismo,7577615,13418.12016361801,564730,535087,2132461411.26184,810137287.5386859,10424736.38912964,1322233.483753204,11746969.87288284,.0144999743297483,4,1,4,1,1,1,QPIB4_QPOP4,QPIBPC1_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
250003,2,Baixa Renda e Médio Dinamismo,1679715,13603.35444370657,123478,121756,585607606.1848919,152841668.0946159,34948123.11885811,3132860.005577087,38080983.12443519,.2491531504410259,2,1,2,1,1,1,QPIB2_QPOP2,QPIBPC1_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
2111300,2,Média Renda e Baixo Dinamismo,29026403,26010.90657853704,1115932,1030836,25975144256.58615,8256450869.415437,1329971.07901001,174069671.2997742,175399642.3787842,.0212439515662258,4,3,4,1,1,1,QPIB4_QPOP4,QPIBPC3_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
230015,2,Baixa Renda e Médio Dinamismo,9122385,14830.75895099813,615099,586936,4547854884.650295,2792952968.633725,462838.4663085938,110443511.1901169,110906349.6564255,.0397093509636431,4,1,4,1,1,1,QPIB4_QPOP4,QPIBPC1_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
140002,1,Baixa Renda e Médio Dinamismo,885322,15681.90594278629,56455,58784,56161688.25366974,23894155.75436783,6135266.358360291,0,6135266.358360291,.2567684927406891,1,2,2,1,1,1,QPIB1_QPOP2,QPIBPC2_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
350008,3,Média Renda e Médio Dinamismo,5809759,34552.48806075781,168143,166135,4030048696.802966,2021177399.494287,66982774.66726303,23761274.28029632,90744048.94755936,.0448966275648363,3,3,3,1,1,1,QPIB3_QPOP3,QPIBPC3_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
310010,3,Média Renda e Médio Dinamismo,4327816,29199.97571063267,148213,133009,2053935664.974904,667524930.4640913,256610632.1411097,6049771.879516602,262660404.0206263,.3934840363760104,3,3,3,1,1,1,QPIB3_QPOP3,QPIBPC3_QPOP3,JPIB1_JPOP1,JPIBPC1_JPOP1,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
310011,3,Baixa Renda e Alto Dinamismo,1501946,12952.72344682466,115956,104616,347034812.1325074,98215094.24431956,46924051.39102936,2481919.009033203,49405970.40006256,.5030384665432426,2,1,2,1,1,1,QPIB2_QPOP2,QPIBPC1_QPOP2,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
510007,5,Alta Renda,15697490,59892.82430282381,262093,303199,7587939200.809675,1938210573.129551,710853647.5697845,26052229.59832001,736905877.1681045,.3801990802156507,4,4,4,1,1,1,QPIB4_QPOP4,QPIBPC4_QPOP4,JPIB1_JPOP1,JPIBPC1_JPOP1,Acima ou igual à média simples do grupo,Acima ou igual à média simples do grupo,Abaixo da média simples do grupo,Abaixo da média simples do grupo
